feature,method,score,leak_risk
Website_https://www.appliedmaterials.com,Pearson,0.0188,Low
prev_rank_192.0,Pearson,0.0188,Low
prev_rank_112.0,Pearson,0.0188,Low
company_Amgen,Pearson,0.0188,Low
Ticker_AMGN,Pearson,0.0188,Low
prev_rank_176.0,Pearson,0.0188,Low
company_BlackRock,Pearson,0.0188,Low
Ticker_AMAT,Pearson,0.0188,Low
sector_Retailing,Pearson,0.0188,Low
city_Leawood,Pearson,0.0188,Low
Ticker_BLK,Pearson,0.0188,Low
CEO_Robert A. Bradway,Pearson,0.0188,Low
company_Applied Materials,Pearson,0.0188,Low
CEO_Laurence D. Fink,Pearson,0.0188,Low
state_CT,Pearson,0.0187,Low
state_UT,Pearson,0.0187,Low
Ticker_BX,Pearson,0.0186,Low
prev_rank_135.0,Pearson,0.0186,Low
prev_rank_251.0,Pearson,0.0186,Low
CEO_Walter W. Bettinger II,Pearson,0.0186,Low
Ticker_MU,Pearson,0.0186,Low
CEO_Stephen A. Schwarzman,Pearson,0.0186,Low
CEO_Sanjay Mehrotra,Pearson,0.0186,Low
company_Blackstone,Pearson,0.0186,Low
company_Charles Schwab,Pearson,0.0186,Low
sector_Household Products,Pearson,0.0186,Low
company_Micron Technology,Pearson,0.0186,Low
Ticker_SCHW,Pearson,0.0186,Low
Website_https://www.micron.com,Pearson,0.0186,Low
prev_rank_454.0,Pearson,0.0186,Low
Website_https://www.aboutschwab.com,Pearson,0.0186,Low
Website_https://www.blackstone.com,Pearson,0.0186,Low
CEO_Arvind Krishna,Pearson,0.0181,Low
state_MA,Pearson,0.0181,Low
company_IBM,Pearson,0.0181,Low
Ticker_IBM,Pearson,0.0181,Low
city_Armonk,Pearson,0.0181,Low
Website_https://www.ibm.com,Pearson,0.0181,Low
prev_rank_42.0,Pearson,0.0181,Low
company_Nike,Pearson,0.018,Low
CEO_John J. Donahoe II,Pearson,0.018,Low
city_Beaverton,Pearson,0.018,Low
Ticker_NKE,Pearson,0.018,Low
prev_rank_85.0,Pearson,0.018,Low
Website_www.nike.com,Pearson,0.018,Low
city_Beverly Hills,Pearson,0.0179,Low
city_Orlando,Pearson,0.0178,Low
Ticker_PNC,Pearson,0.0177,Low
company_PNC Financial Services Group,Pearson,0.0177,Low
company_PPL,Pearson,0.0177,Low
CEO_Vincent Sorgi,Pearson,0.0177,Low
prev_rank_382.0,Pearson,0.0177,Low
prev_rank_120.0,Pearson,0.0177,Low
Website_https://www.pplweb.com,Pearson,0.0177,Low
Website_https://www.pnc.com,Pearson,0.0177,Low
CEO_William S. Demchak,Pearson,0.0177,Low
Ticker_PPL,Pearson,0.0177,Low
city_Norwalk,Pearson,0.0174,Low
Website_https://www.lilly.com,Pearson,0.0173,Low
Ticker_LLY,Pearson,0.0173,Low
CEO_David A. Ricks,Pearson,0.0173,Low
company_Eli Lilly,Pearson,0.0173,Low
prev_rank_118.0,Pearson,0.0173,Low
company_Dell Technologies,Pearson,0.0172,Low
city_Round Rock,Pearson,0.0172,Low
CEO_Michael S. Dell,Pearson,0.0172,Low
Ticker_DELL,Pearson,0.0172,Low
prev_rank_28.0,Pearson,0.0172,Low
Website_www.delltechnologies.com,Pearson,0.0172,Low
prev_rank_94.0,Pearson,0.0171,Low
Ticker_HON,Pearson,0.0171,Low
CEO_Darius E. Adamczyk,Pearson,0.0171,Low
company_Honeywell International,Pearson,0.0171,Low
Website_www.honeywell.com,Pearson,0.0171,Low
CEO_Gary Steele,Pearson,0.017,Low
prev_rank_100.0,Pearson,0.017,Low
Ticker_TSLA,Pearson,0.017,Low
Website_https://www.splunk.com,Pearson,0.017,Low
company_Splunk,Pearson,0.017,Low
CEO_Elon Musk,Pearson,0.017,Low
company_Tesla,Pearson,0.017,Low
Website_www.tesla.com,Pearson,0.017,Low
Ticker_SPLK,Pearson,0.017,Low
city_Los Angeles,Pearson,0.0169,Low
company_Energy Transfer,Pearson,0.0167,Low
Website_www.energytransfer.com,Pearson,0.0167,Low
CEO_Thomas E. Long/Marshall S. McCrea III,Pearson,0.0167,Low
Ticker_ET,Pearson,0.0167,Low
city_Pittsburgh,Pearson,0.0167,Low
prev_rank_81.0,Pearson,0.0167,Low
company_Vistra,Pearson,0.0166,Low
CEO_Roger C. Hochschild,Pearson,0.0166,Low
Ticker_DFS,Pearson,0.0166,Low
company_AMC Entertainment Holdings,Pearson,0.0166,Low
Ticker_VST,Pearson,0.0166,Low
Ticker_VTRS,Pearson,0.0166,Low
Website_https://www.viatris.com,Pearson,0.0166,Low
city_Riverwoods,Pearson,0.0166,Low
Ticker_AMC,Pearson,0.0166,Low
Website_https://www.amctheatres.com,Pearson,0.0166,Low
prev_rank_254.0,Pearson,0.0166,Low
CEO_James A. Burke,Pearson,0.0166,Low
CEO_Michael Goettler,Pearson,0.0166,Low
company_Discover Financial Services,Pearson,0.0166,Low
prev_rank_233.0,Pearson,0.0166,Low
company_Viatris,Pearson,0.0166,Low
Website_https://www.discover.com,Pearson,0.0166,Low
CEO_Adam M. Aron,Pearson,0.0166,Low
prev_rank_274.0,Pearson,0.0166,Low
city_Canonsburg,Pearson,0.0166,Low
Website_https://www.vistracorp.com,Pearson,0.0166,Low
